acronym,definition
AECMA,European Association of Aerospace Industries
AGS,Advanced Gun System
ALE,Acquisition Logistics Engineering
ANSI,American National Standards Institute
AT&L,"Acquisition, Technology, and Logistics"
ATA,Air Transport Association
ATP,Acceptance Test Procedure
Aa,Achieved Availability
Ai,Inherent Availability
Ao,Operational Availability
BCA,Business Case Analysis
BCS,Baseline Comparison System
BIT,Built-In Test
CDR,Critical Design Review
CDRL,Contract Data Requirements List
CDS,Contractor Delivery System
CEO,Chief Executive Officer
CER,Cost Estimating Relationship
CES,Cost Estimate Structure
CF,Complexity Factor
CLS,Contractor Logistic Support
CM,Corrective Maintenance
COB,Close of Business
COTS,Commercial-off-the-Shelf
CR,Concept Refinement
DID,Data Item Description
DLA,Defense Logistics Agency
DM,Data Management
DoD,Department of Defense
DoDD,Department of Defense Directive
DoN,Department of the Navy
EDM,Engineering Development Model
EMD,Engineering and Manufacturing Development
EWBS,Expanded Work Breakdown Structure
FEA,Front End Analysis
FMEA,Failure Mode and Effects Analysis
FMECA,"Failure Mode, Effects, and Criticality Analysis"
FOC,Final Op Capability
FRACAS,"Failure Reporting, Analysis, and Correction Action System"
FRP,Full Rate Production
FSI,Functional Significant Item
FTA,Fault Tree Analysis
FV,Future Value
FY,Fiscal Year
GAO,Government Accounting Office
GFE,Government Furnished Equipment
GFI,Government Furnished Information
IAW,In Accordance With
ICD,Interface Control Document
IETM,Interactive Electronic Technical Manual
ILS,Integrated Logistics Support
INT,Intermediate (Level of Maintenance)
IOC,Initial Operational Capability
IOT&E,Initial Operational Test & Evaluation
IPS,Integrated Propulsion System
IPT,Integrated Product Team
IUID,Item Unique Identification
LCC,Life Cycle Cost
LCE&S,Life Cycle Engineering & Supportability
LCL,Life Cycle Logistics
LCN,Logistic Control Number
LMI,Logistic Management Information
LOGCEN,US Army Logistic Center
LORA,Level of Repair Analysis
LRIP,Low Rate Initial Production
LRU,Line Replaceable Unit
LSAP,Logistics Support Analysis Plan
LSAR,Logistic Support Analysis Record
MART,Mean Active Restore Time
MDT,Mean Down Time
MEA,Maintenance Engineering Analysis
MIL-HDBK,Military Handbook
MIL-STD,Military Standard
MIP,Maintenance Index Page
MLDT,Mean Logistics Delay Time
MMH/OH,Mean Manhours per Operating Hour
MOA,Memorandum of Agreement
MOI,Memorandum of Intent
MOU,Memorandum of Understanding
MPTM,Mean Preventive Time for Maintenance
MRC,Maintenance Requirements Cards
MTA,Maintenance Task Analysis
MTBCF,Mean Time Between Critical Failure
MTBF,Mean Time Between Failures
MTBFB,Mean Time Between Failure - Basic
MTBFM,Mean Time Between Failure -
MTBM,Mean Time Between Maintenance
MTBPM,Mean Time Between Preventive Maintenance
MTTF,Meant Time To Failure
MTTR,Mean Time To Repair
N/A,Not Applicable
NDIA,National Defense Industrial Association
NPRD,Non-electric Parts and Reliability Data
O&S,Operations & Support
OEM,Original Equipment Manufacturer
OMB,Office of Management and Budget
OPNS,Operations
ORD,Operational Requirements Document
ORG,Organizational (Level of Maintenance)
ORLA,Optimal Repair Level Analysis
P&D,Production & Deployment
PALS,Performance-based Agile Logistics Support
PBA,Performance Based Agreement
PBL,Performance Based Logistics
PBS,Performance Based Supportability
PDR,Preliminary Design Review
PHS&T,"Packaging, Handling, Storage & Transportation"
PM,Preventive Maintenance
PMA,Program Management Activity
PRAM,"Productivity, Reliability, Availability & Maintainability"
PRR,Production Readiness Review
PSA,Product Support Analysis
PSI,Product Support Integrator
PV,Present Value
PVS,Prime Vendor Support
Ps,Probability of Success
R&M,Reliability & Maintainability
R&R,Remove & Replace
RCM,Reliability Centered Maintenance
RCS,Representative Comparative System
RDT&E,"Research, Development, Test and Evaluation"
RLA,Repair Level Analysis
RMA,"Reliability, Maintainability, Availability"
Rd,De-Escalation Rate
Ri,Inflation Rate
SD&D,System Development and Demonstration
SDRL,Supplier Data Requirements List
SE,Support Equipment
SME,Subject Matter Expert
SMR,"Source, Maintenance, Recoverability"
SOW,Statement of Work
SR,Senior
SRA,Shop Replaceable Assembly
SRU,Shop Replaceable Unit
SSP,System Support Package
TD,Technology Development
TLCSM,Total Life Cycle Systems Management
TM,Technical Manual
TOC,Total Ownership Cost
TSPR,Total System Performance Responsibility
WBS,Work Breakdown Structure
WRA,Weapons Replaceable Assembly
WS,Weapon System
